id,unit_id,timestamp,timestamp_start,timestamp_end,car_id,car_arm,rfid_tag
1,004500483138511230343432,2025-05-19 06:21:43.500000,2025-05-19 06:21:38,2025-05-19 06:21:49,002,L,X6ZAEZ001924
2,004500483138511230343432,2025-05-19 06:22:13,2025-05-19 06:22:09,2025-05-19 06:22:17,002,L,X6ZAEZ000047
3,004500483138511230343432,2025-05-19 06:30:08,2025-05-19 06:30:05,2025-05-19 06:30:11,002,L,X6ZAEZ001505
4,004500483138511230343432,2025-05-19 06:30:34.500000,2025-05-19 06:30:31,2025-05-19 06:30:38,002,L,X6ZAEZ002446
5,004500483138511230343432,2025-05-19 06:36:47,2025-05-19 06:36:40,2025-05-19 06:36:54,002,L,X6ZABZ006596
6,004500483138511230343432,2025-05-19 06:37:48,2025-05-19 06:37:45,2025-05-19 06:37:51,002,L,X6ZADZ001125
7,004500483138511230343432,2025-05-19 06:38:44,2025-05-19 06:38:42,2025-05-19 06:38:46,002,L,X6ZABZ006187
8,004500483138511230343432,2025-05-19 06:43:54,2025-05-19 06:43:41,2025-05-19 06:44:07,002,L,X6ZAEZ002164
9,004500483138511230343432,2025-05-19 06:44:36.500000,2025-05-19 06:44:24,2025-05-19 06:44:49,002,L,X6ZAEZ002117
10,004500483138511230343432,2025-05-19 06:49:17.500000,2025-05-19 06:49:15,2025-05-19 06:49:20,002,L,X6ZADZ001011
11,004500483138511230343432,2025-05-19 06:49:35,2025-05-19 06:49:33,2025-05-19 06:49:37,002,L,X6ZADZ000968
12,004500483138511230343432,2025-05-19 06:52:10,2025-05-19 06:52:02,2025-05-19 06:52:18,002,L,X6ZAEZ001475
13,004500483138511230343432,2025-05-19 06:52:36.500000,2025-05-19 06:52:33,2025-05-19 06:52:40,002,L,X6ZAEZ002495
14,004500483138511230343432,2025-05-19 06:54:13,2025-05-19 06:54:08,2025-05-19 06:54:18,002,L,X6ZAEZ002440
15,004500483138511230343432,2025-05-19 06:54:35,2025-05-19 06:54:32,2025-05-19 06:54:38,002,L,X6ZAEZ002321
16,004500483138511230343432,2025-05-19 06:55:04.500000,2025-05-19 06:54:56,2025-05-19 06:55:13,002,L,X6ZAEZ002398
17,004500483138511230343432,2025-05-19 06:56:08.500000,2025-05-19 06:56:05,2025-05-19 06:56:12,002,L,X6ZAEZ002375
18,004500483138511230343432,2025-05-19 06:56:31,2025-05-19 06:56:27,2025-05-19 06:56:35,002,L,X6ZAEZ002198
19,004500483138511230343432,2025-05-19 06:57:24.500000,2025-05-19 06:57:19,2025-05-19 06:57:30,002,L,X6ZAEZ002462
20,004500483138511230343432,2025-05-19 06:57:46.500000,2025-05-19 06:57:43,2025-05-19 06:57:50,002,L,X6ZAEZ002212
21,004500483138511230343432,2025-05-19 06:58:56,2025-05-19 06:58:52,2025-05-19 06:59:00,002,L,X6ZAEZ002349
22,004500483138511230343432,2025-05-19 06:59:18.500000,2025-05-19 06:59:14,2025-05-19 06:59:23,002,L,X6ZAEZ001027
23,004500483138511230343432,2025-05-19 06:59:47.500000,2025-05-19 06:59:37,2025-05-19 06:59:58,002,L,X6ZAEZ002203
24,004500483138511230343432,2025-05-19 07:04:09,2025-05-19 07:04:05,2025-05-19 07:04:13,002,L,X6ZAEZ002109
25,004500483138511230343432,2025-05-19 07:04:55,2025-05-19 07:04:47,2025-05-19 07:05:03,002,L,X6ZAEZ001381
26,004500483138511230343432,2025-05-19 07:05:15.500000,2025-05-19 07:05:13,2025-05-19 07:05:18,002,L,X6ZABZ005989
27,004500483138511230343432,2025-05-19 07:06:00.500000,2025-05-19 07:05:57,2025-05-19 07:06:04,002,L,X6ZABZ005732
28,004500483138511230343432,2025-05-19 07:06:35,2025-05-19 07:06:29,2025-05-19 07:06:41,002,L,X6ZADZ001317
29,004500483138511230343432,2025-05-19 07:07:27,2025-05-19 07:07:24,2025-05-19 07:07:30,002,L,X6ZAEZ002657
30,004500483138511230343432,2025-05-19 07:10:30,2025-05-19 07:10:18,2025-05-19 07:10:42,002,L,X6ZAEZ002315
31,004500483138511230343432,2025-05-19 07:11:09,2025-05-19 07:11:02,2025-05-19 07:11:16,002,L,X6ZAEZ002367
32,004500483138511230343432,2025-05-19 07:11:35.500000,2025-05-19 07:11:33,2025-05-19 07:11:38,002,L,X6ZAEZ002204
33,004500483138511230343432,2025-05-19 07:12:39.500000,2025-05-19 07:12:33,2025-05-19 07:12:46,002,L,X6ZAEZ002294
34,004500483138511230343432,2025-05-19 07:13:01.500000,2025-05-19 07:12:57,2025-05-19 07:13:06,002,L,X6ZAEZ002410
35,004500483138511230343432,2025-05-19 07:13:25,2025-05-19 07:13:21,2025-05-19 07:13:29,002,L,X6ZAEZ002324
36,004500483138511230343432,2025-05-19 07:13:52,2025-05-19 07:13:46,2025-05-19 07:13:58,002,L,X6ZAEZ002465
37,004500483138511230343432,2025-05-19 07:14:34.500000,2025-05-19 07:14:31,2025-05-19 07:14:38,002,L,X6ZAEZ002357
38,004500483138511230343432,2025-05-19 07:14:55.500000,2025-05-19 07:14:52,2025-05-19 07:14:59,002,L,X6ZAEZ002469
39,004500483138511230343432,2025-05-19 07:15:55,2025-05-19 07:15:48,2025-05-19 07:16:02,002,L,X6ZAEZ002403
40,004500483138511230343432,2025-05-19 07:16:42,2025-05-19 07:16:40,2025-05-19 07:16:44,002,L,X6ZADZ001391
41,004500483138511230343432,2025-05-19 07:17:49,2025-05-19 07:17:47,2025-05-19 07:17:51,002,L,X6ZADZ001278
42,004500483138511230343432,2025-05-19 07:20:35.500000,2025-05-19 07:20:30,2025-05-19 07:20:41,002,L,X6ZAEZ000086
43,004500483138511230343432,2025-05-19 07:21:01.500000,2025-05-19 07:20:57,2025-05-19 07:21:06,002,L,X6ZAEZ000097
44,004500483138511230343432,2025-05-19 07:22:29.500000,2025-05-19 07:22:28,2025-05-19 07:22:31,002,L,X6ZAFZ000604
45,004500483138511230343432,2025-05-19 07:47:25,2025-05-19 07:47:18,2025-05-19 07:47:32,002,L,X6ZAEZ000157
162,0029004B3433511230353832,2025-05-19 07:47:49.500000,2025-05-19 07:47:46,2025-05-19 07:47:53,002,R,X6ZAEZ002777
46,004500483138511230343432,2025-05-19 07:54:46.500000,2025-05-19 07:54:36,2025-05-19 07:54:57,002,L,X6ZAEZ002414
47,004500483138511230343432,2025-05-19 07:55:20,2025-05-19 07:55:17,2025-05-19 07:55:23,002,L,X6ZAEZ002395
48,004500483138511230343432,2025-05-19 07:55:41.500000,2025-05-19 07:55:39,2025-05-19 07:55:44,002,L,X6ZAEZ002355
49,004500483138511230343432,2025-05-19 07:56:33,2025-05-19 07:56:30,2025-05-19 07:56:36,002,L,X6ZAKZ000055
50,004500483138511230343432,2025-05-19 07:59:50.500000,2025-05-19 07:59:48,2025-05-19 07:59:53,002,L,X6ZAEZ002191
51,004500483138511230343432,2025-05-19 08:00:17.500000,2025-05-19 08:00:08,2025-05-19 08:00:27,002,L,X6ZAEZ002322
52,004500483138511230343432,2025-05-19 08:01:29,2025-05-19 08:01:21,2025-05-19 08:01:37,002,L,X6ZAEZ001335
53,004500483138511230343432,2025-05-19 08:01:51.500000,2025-05-19 08:01:49,2025-05-19 08:01:54,002,L,X6ZADZ001275
54,004500483138511230343432,2025-05-19 08:03:20.500000,2025-05-19 08:03:17,2025-05-19 08:03:24,002,L,X6ZAEZ001333
