id,unit_id,timestamp,timestamp_start,timestamp_end,car_id,car_arm,rfid_tag
61,003A002C3038510E39363731,2025-07-10 05:04:34,2025-07-10 05:04:29,2025-07-10 05:04:39,101,L,
62,003A002C3038510E39363731,2025-07-10 05:09:10.500000,2025-07-10 05:09:06,2025-07-10 05:09:15,101,L,
64,003A002C3038510E39363731,2025-07-10 05:12:56,2025-07-10 05:12:52,2025-07-10 05:13:00,101,L,
68,003A002C3038510E39363731,2025-07-10 05:21:39,2025-07-10 05:21:34,2025-07-10 05:21:44,101,L,
70,003A002C3038510E39363731,2025-07-10 05:23:28.500000,2025-07-10 05:23:24,2025-07-10 05:23:33,101,L,
71,003A002C3038510E39363731,2025-07-10 05:24:41,2025-07-10 05:24:37,2025-07-10 05:24:45,101,L,
73,003A002C3038510E39363731,2025-07-10 05:25:33,2025-07-10 05:25:29,2025-07-10 05:25:37,101,L,
74,003A002C3038510E39363731,2025-07-10 05:26:22.500000,2025-07-10 05:26:18,2025-07-10 05:26:27,101,L,
75,003A002C3038510E39363731,2025-07-10 05:27:14.500000,2025-07-10 05:27:10,2025-07-10 05:27:19,101,L,
76,003A002C3038510E39363731,2025-07-10 05:27:56.500000,2025-07-10 05:27:52,2025-07-10 05:28:01,101,L,
77,003A002C3038510E39363731,2025-07-10 05:28:37.500000,2025-07-10 05:28:33,2025-07-10 05:28:42,101,L,
80,003A002C3038510E39363731,2025-07-10 05:31:16,2025-07-10 05:31:12,2025-07-10 05:31:20,101,L,
81,003A002C3038510E39363731,2025-07-10 05:32:32,2025-07-10 05:32:28,2025-07-10 05:32:36,101,L,
83,003A002C3038510E39363731,2025-07-10 05:38:41.500000,2025-07-10 05:38:36,2025-07-10 05:38:47,101,L,
197,003A002C3038510E39363731,2025-07-10 06:01:33,2025-07-10 06:01:10,2025-07-10 06:01:56,101,L,
199,003A002C3038510E39363731,2025-07-10 06:03:55,2025-07-10 06:03:51,2025-07-10 06:03:59,101,L,
203,003A002C3038510E39363731,2025-07-10 06:13:50.500000,2025-07-10 06:13:46,2025-07-10 06:13:55,101,L,
204,003A002C3038510E39363731,2025-07-10 06:15:26,2025-07-10 06:15:21,2025-07-10 06:15:31,101,L,
210,003A002C3038510E39363731,2025-07-10 06:40:32,2025-07-10 06:40:27,2025-07-10 06:40:37,101,L,
211,003A002C3038510E39363731,2025-07-10 06:45:00.500000,2025-07-10 06:44:56,2025-07-10 06:45:05,101,L,
213,003A002C3038510E39363731,2025-07-10 06:49:01.500000,2025-07-10 06:48:57,2025-07-10 06:49:06,101,L,
214,003A002C3038510E39363731,2025-07-10 06:51:03.500000,2025-07-10 06:50:58,2025-07-10 06:51:09,101,L,
215,003A002C3038510E39363731,2025-07-10 06:53:43.500000,2025-07-10 06:53:38,2025-07-10 06:53:49,101,L,
219,003A002C3038510E39363731,2025-07-10 07:11:08.500000,2025-07-10 07:11:04,2025-07-10 07:11:13,101,L,
220,003A002C3038510E39363731,2025-07-10 07:13:56,2025-07-10 07:13:51,2025-07-10 07:14:01,101,L,
221,003A002C3038510E39363731,2025-07-10 07:16:26.500000,2025-07-10 07:16:22,2025-07-10 07:16:31,101,L,
222,003A002C3038510E39363731,2025-07-10 07:17:37,2025-07-10 07:17:33,2025-07-10 07:17:41,101,L,
225,003A002C3038510E39363731,2025-07-10 07:23:51,2025-07-10 07:23:47,2025-07-10 07:23:55,101,L,
227,003A002C3038510E39363731,2025-07-10 07:27:27.500000,2025-07-10 07:27:23,2025-07-10 07:27:32,101,L,
229,003A002C3038510E39363731,2025-07-10 07:30:44.500000,2025-07-10 07:30:40,2025-07-10 07:30:49,101,L,
231,003A002C3038510E39363731,2025-07-10 07:32:54,2025-07-10 07:32:50,2025-07-10 07:32:58,101,L,
239,003A002C3038510E39363731,2025-07-10 07:51:59.500000,2025-07-10 07:51:55,2025-07-10 07:52:04,101,L,
0,003A002C3038510E39363731,2025-07-10 07:52:38,2025-07-10 07:52:34,2025-07-10 07:52:42,101,L,
2,003A002C3038510E39363731,2025-07-10 07:54:52.500000,2025-07-10 07:54:48,2025-07-10 07:54:57,101,L,
4,003A002C3038510E39363731,2025-07-10 07:55:09,2025-07-10 07:55:04,2025-07-10 07:55:14,101,L,
