id,unit_id,timestamp,timestamp_start,timestamp_end,car_id,car_arm,rfid_tag
88,004500483138511230343432,2025-07-14 06:27:19.500000,2025-07-14 06:27:09,2025-07-14 06:27:30,102,L,X6ZAEZ001924
89,004500483138511230343432,2025-07-14 06:27:49.500000,2025-07-14 06:27:42,2025-07-14 06:27:57,102,L,X6ZAEZ000047
91,004500483138511230343432,2025-07-14 06:32:49.500000,2025-07-14 06:32:39,2025-07-14 06:33:00,102,L,X6ZAEZ001505
92,004500483138511230343432,2025-07-14 06:33:36.500000,2025-07-14 06:33:13,2025-07-14 06:34:00,102,L,X6ZAEZ002446
93,004500483138511230343432,2025-07-14 06:39:06,2025-07-14 06:39:00,2025-07-14 06:39:12,102,L,X6ZACZ001605
96,004500483138511230343432,2025-07-14 06:40:34,2025-07-14 06:40:21,2025-07-14 06:40:47,102,L,X6ZADZ001139
99,004500483138511230343432,2025-07-14 06:48:56,2025-07-14 06:48:47,2025-07-14 06:49:05,102,L,X6ZAEZ002164
100,004500483138511230343432,2025-07-14 06:49:26.500000,2025-07-14 06:49:13,2025-07-14 06:49:40,102,L,X6ZAEZ002117
102,004500483138511230343432,2025-07-14 06:55:13,2025-07-14 06:55:08,2025-07-14 06:55:18,102,L,X6ZABZ005492
104,004500483138511230343432,2025-07-14 06:58:31,2025-07-14 06:58:24,2025-07-14 06:58:38,102,L,X6ZAEZ001475
105,004500483138511230343432,2025-07-14 06:58:57,2025-07-14 06:58:46,2025-07-14 06:59:08,102,L,X6ZAEZ002495
245,004500483138511230343432,2025-07-14 07:00:51,2025-07-14 07:00:41,2025-07-14 07:01:01,102,L,X6ZAEZ002321
246,004500483138511230343432,2025-07-14 07:01:25,2025-07-14 07:01:12,2025-07-14 07:01:38,102,L,X6ZAEZ002398
247,004500483138511230343432,2025-07-14 07:02:47.500000,2025-07-14 07:02:34,2025-07-14 07:03:01,102,L,X6ZAEZ002375
248,004500483138511230343432,2025-07-14 07:03:14.500000,2025-07-14 07:03:09,2025-07-14 07:03:20,102,L,X6ZAEZ002198
249,004500483138511230343432,2025-07-14 07:04:09.500000,2025-07-14 07:03:59,2025-07-14 07:04:20,102,L,X6ZAEZ002462
250,004500483138511230343432,2025-07-14 07:04:35,2025-07-14 07:04:28,2025-07-14 07:04:42,102,L,X6ZAEZ002212
251,004500483138511230343432,2025-07-14 07:05:57.500000,2025-07-14 07:05:43,2025-07-14 07:06:12,102,L,X6ZAEZ002203
252,004500483138511230343432,2025-07-14 07:06:28.500000,2025-07-14 07:06:19,2025-07-14 07:06:38,102,L,X6ZAEZ001027
253,004500483138511230343432,2025-07-14 07:07:03.500000,2025-07-14 07:06:50,2025-07-14 07:07:17,102,L,X6ZAEZ002349
255,004500483138511230343432,2025-07-14 07:12:27,2025-07-14 07:12:16,2025-07-14 07:12:38,102,L,X6ZAEZ002581
257,004500483138511230343432,2025-07-14 07:13:18,2025-07-14 07:13:13,2025-07-14 07:13:23,102,L,X6ZAEZ001381
258,004500483138511230343432,2025-07-14 07:13:45.500000,2025-07-14 07:13:34,2025-07-14 07:13:57,102,L,X6ZABZ005989
261,004500483138511230343432,2025-07-14 07:14:41.500000,2025-07-14 07:14:37,2025-07-14 07:14:46,102,L,X6ZADZ001317
262,004500483138511230343432,2025-07-14 07:15:28,2025-07-14 07:15:17,2025-07-14 07:15:39,102,L,X6ZAEZ002657
266,004500483138511230343432,2025-07-14 07:18:49,2025-07-14 07:18:45,2025-07-14 07:18:53,102,L,X6ZABZ005178
267,004500483138511230343432,2025-07-14 07:19:37,2025-07-14 07:19:27,2025-07-14 07:19:47,102,L,X6ZAEZ002367
268,004500483138511230343432,2025-07-14 07:20:00,2025-07-14 07:19:55,2025-07-14 07:20:05,102,L,X6ZAEZ002204
269,004500483138511230343432,2025-07-14 07:20:24.500000,2025-07-14 07:20:17,2025-07-14 07:20:32,102,L,X6ZAEZ002315
270,004500483138511230343432,2025-07-14 07:21:38.500000,2025-07-14 07:21:31,2025-07-14 07:21:46,102,L,X6ZAEZ002465
271,004500483138511230343432,2025-07-14 07:22:02,2025-07-14 07:21:55,2025-07-14 07:22:09,102,L,X6ZAEZ002294
272,004500483138511230343432,2025-07-14 07:22:20,2025-07-14 07:22:14,2025-07-14 07:22:26,102,L,X6ZAEZ002410
273,004500483138511230343432,2025-07-14 07:22:40,2025-07-14 07:22:34,2025-07-14 07:22:46,102,L,X6ZAEZ002324
274,004500483138511230343432,2025-07-14 07:23:21,2025-07-14 07:23:14,2025-07-14 07:23:28,102,L,X6ZAEZ002469
275,004500483138511230343432,2025-07-14 07:23:41.500000,2025-07-14 07:23:35,2025-07-14 07:23:48,102,L,X6ZAEZ002401
276,004500483138511230343432,2025-07-14 07:24:04.500000,2025-07-14 07:23:53,2025-07-14 07:24:16,102,L,X6ZAEZ002357
277,004500483138511230343432,2025-07-14 07:25:15,2025-07-14 07:25:05,2025-07-14 07:25:25,102,L,X6ZAEZ002403
278,004500483138511230343432,2025-07-14 07:26:10.500000,2025-07-14 07:26:06,2025-07-14 07:26:15,102,L,X6ZABZ000457
280,004500483138511230343432,2025-07-14 07:27:01.500000,2025-07-14 07:26:57,2025-07-14 07:27:06,102,L,X6ZABZ004198
286,004500483138511230343432,2025-07-14 07:30:26.500000,2025-07-14 07:30:22,2025-07-14 07:30:31,102,L,X6ZABZ005131
0,004500483138511230343432,2025-07-14 07:43:45,2025-07-14 07:43:39,2025-07-14 07:43:51,102,L,X6ZAEZ002395
1,004500483138511230343432,2025-07-14 07:44:10.500000,2025-07-14 07:43:58,2025-07-14 07:44:23,102,L,X6ZAEZ002414
2,004500483138511230343432,2025-07-14 07:44:38,2025-07-14 07:44:32,2025-07-14 07:44:44,102,L,X6ZAEZ002355
3,004500483138511230343432,2025-07-14 07:45:35,2025-07-14 07:45:28,2025-07-14 07:45:42,102,L,X6ZAKZ000055
